ID;title;author;price;publishedDate;gender;ageGroup;status
66666666-6666-6666-6666-666666666666;Atomic Habits;James Clear;549.00;2024-06-18T10:30:00Z;M;Adult;C
77777777-7777-7777-7777-777777777777;The Power of Habit;Charles Duhigg;475.50;2023-09-25T12:15:00Z;M;Adult;C
88888888-8888-8888-8888-888888888888;Little Women;Louisa May Alcott;399.00;2022-11-10T09:45:00Z;F;Kids;I
99999999-9999-9999-9999-999999999999;Matilda;Roald Dahl;325.75;2024-02-14T08:20:00Z;M;Kids;C
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa;Jane Eyre;Charlotte Bronte;425.00;2021-04-21T13:10:00Z;F;Adult;I
bbbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbbb;The Great Gatsby;F. Scott Fitzgerald;350.50;2020-07-12T11:00:00Z;M;Adult;C
cccccccc-cccc-cccc-cccc-cccccccccccc;The Secret Garden;Frances Hodgson Burnett;299.00;2023-03-17T07:30:00Z;F;Kids;I
dddddddd-dddd-dddd-dddd-dddddddddddd;The Jungle Book;Rudyard Kipling;275.25;2022-12-05T15:20:00Z;M;Kids;I
eeeeeeee-eeee-eeee-eeee-eeeeeeeeeeee;Emma;Jane Austen;440.00;2021-10-19T10:40:00Z;F;Adult;C
ffffffff-ffff-ffff-ffff-ffffffffffff;Oliver Twist;Charles Dickens;385.99;2020-05-11T14:00:00Z;M;Kids;I
12345678-1234-1234-1234-123456789001;Think and Grow Rich;Napoleon Hill;499.00;2024-08-01T09:10:00Z;M;Adult;C
12345678-1234-1234-1234-123456789002;Anne of Green Gables;L. M. Montgomery;365.50;2023-01-22T11:25:00Z;F;Kids;I
12345678-1234-1234-1234-123456789003;The Psychology of Money;Morgan Housel;625.00;2025-01-10T13:45:00Z;M;Adult;C
12345678-1234-1234-1234-123456789004;Heidi;Johanna Spyri;280.99;2022-06-16T08:55:00Z;F;Kids;I
12345678-1234-1234-1234-123456789005;Ikigai;Hector Garcia;525.75;2024-04-09T16:10:00Z;M;Adult;C
12345678-1234-1234-1234-123456789006;Black Beauty;Anna Sewell;310.00;2021-09-28T12:30:00Z;F;Kids;I
12345678-1234-1234-1234-123456789007;Deep Work;Cal Newport;675.50;2025-05-15T10:05:00Z;M;Adult;C
12345678-1234-1234-1234-123456789008;The Railway Children;Edith Nesbit;295.25;2023-07-20T14:35:00Z;F;Kids;C
12345678-1234-1234-1234-123456789009;Rich Dad Poor Dad;Robert Kiyosaki;575.99;2024-10-11T09:50:00Z;M;Adult;C
12345678-1234-1234-1234-123456789010;A Little Princess;Frances Hodgson Burnett;315.50;2022-03-08T11:40:00Z;F;Kids;I
