ID;title;pages;books_ID
c6666666-1111-1111-1111-111111111111;The Fundamentals of Habits;32;66666666-6666-6666-6666-666666666666
c6666666-2222-2222-2222-222222222222;Building Better Habits;45;66666666-6666-6666-6666-666666666666
c7777777-1111-1111-1111-111111111111;Understanding the Habit Loop;38;77777777-7777-7777-7777-777777777777
c7777777-2222-2222-2222-222222222222;Transforming Daily Routines;42;77777777-7777-7777-7777-777777777777
c8888888-1111-1111-1111-111111111111;The March Family;30;88888888-8888-8888-8888-888888888888
c8888888-2222-2222-2222-222222222222;Growing Up Together;36;88888888-8888-8888-8888-888888888888
c9999999-1111-1111-1111-111111111111;Matildas Early Years;28;99999999-9999-9999-9999-999999999999
c9999999-2222-2222-2222-222222222222;Discovering Her Strength;34;99999999-9999-9999-9999-999999999999
caaaaaaa-1111-1111-1111-111111111111;Life at Thornfield;40;aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa
caaaaaaa-2222-2222-2222-222222222222;Finding Independence;48;aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa
cbbbbbbb-1111-1111-1111-111111111111;The Mysterious Gatsby;35;bbbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbbb
cbbbbbbb-2222-2222-2222-222222222222;Dreams and Reality;41;bbbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbbb
cccccccc-1111-1111-1111-111111111111;Discovering the Garden;29;cccccccc-cccc-cccc-cccc-cccccccccccc
cccccccc-2222-2222-2222-222222222222;Bringing the Garden to Life;33;cccccccc-cccc-cccc-cccc-cccccccccccc
cddddddd-1111-1111-1111-111111111111;Growing Up in the Jungle;31;dddddddd-dddd-dddd-dddd-dddddddddddd
cddddddd-2222-2222-2222-222222222222;Adventures in the Wild;39;dddddddd-dddd-dddd-dddd-dddddddddddd
ceeeeeee-1111-1111-1111-111111111111;Emma and Highbury;37;eeeeeeee-eeee-eeee-eeee-eeeeeeeeeeee
ceeeeeee-2222-2222-2222-222222222222;Lessons in Friendship;44;eeeeeeee-eeee-eeee-eeee-eeeeeeeeeeee
cfffffff-1111-1111-1111-111111111111;Life in the Workhouse;34;ffffffff-ffff-ffff-ffff-ffffffffffff
cfffffff-2222-2222-2222-222222222222;A New Life in London;46;ffffffff-ffff-ffff-ffff-ffffffffffff
c1234567-1111-1111-1111-111111111111;The Power of Thoughts;38;12345678-1234-1234-1234-123456789001
c1234567-2222-2222-2222-222222222222;Turning Desire into Action;43;12345678-1234-1234-1234-123456789001
c1234567-3333-1111-1111-111111111111;Life at Green Gables;31;12345678-1234-1234-1234-123456789002
c1234567-4444-2222-2222-222222222222;Friendship and Imagination;36;12345678-1234-1234-1234-123456789002
c1234567-5555-1111-1111-111111111111;Understanding Money;40;12345678-1234-1234-1234-123456789003
c1234567-6666-2222-2222-222222222222;Building Wealth;47;12345678-1234-1234-1234-123456789003
c1234567-7777-1111-1111-111111111111;Life in the Mountains;27;12345678-1234-1234-1234-123456789004
c1234567-8888-2222-2222-222222222222;A New Home;32;12345678-1234-1234-1234-123456789004
c1234567-9999-1111-1111-111111111111;Finding Your Purpose;36;12345678-1234-1234-1234-123456789005
c1234567-aaaa-2222-2222-222222222222;Living with Balance;41;12345678-1234-1234-1234-123456789005
c1234567-bbbb-1111-1111-111111111111;A Horses Early Life;30;12345678-1234-1234-1234-123456789006
c1234567-cccc-2222-2222-222222222222;Finding a New Home;35;12345678-1234-1234-1234-123456789006
c1234567-dddd-1111-1111-111111111111;The Rules of Deep Work;42;12345678-1234-1234-1234-123456789007
